Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
JAPON|PUERTO QUETZAL|10/08/2012| 87032269|2013|TOYOTA|YARIS|1497|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|5|0|98597.22|11831.67|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
